日期,名稱,說明,備註
1月1日 (五),中華民國開國紀念日,依規定放假1日。,
1月4日 (一),國曆新年開始交易日,國曆新年開始交易。,o
2月5日 (五),農曆春節前最後交易日,農曆春節前最後交易。,o
2月8日 (一),農曆春節前最後交易日,2月8日市場無交易，僅辦理結算交割作業。,*
2月9日 (二),農曆春節前最後交易日,2月9日市場無交易，僅辦理結算交割作業。,*
2月10日 (三),農曆除夕前一日,2月10日（星期三）調整放假，於2月20日（星期六）補行上班，但不交易亦不交割。,
2月11日 (四),農曆除夕,依規定放假1日。,
2月12日 (五),農曆春節,依規定放假1日。,
2月13日 (六),農曆春節,依規定放假1日。,
2月14日 (日),農曆春節,依規定放假1日。,
2月15日 (一),農曆春節,2月13日及2月14日適逢星期六及日，2月15日（星期一）及2月16日（星期二）補假1日。,
2月16日 (二),農曆春節,2月13日及2月14日適逢星期六及日，2月15日（星期一）及2月16日（星期二）補假1日。,
2月17日 (三),農曆春節後開始交易日,農曆春節後開始交易。,o
2月28日 (日),和平紀念日,依規定放假1日。,
3月1日 (一),和平紀念日,2月28日適逢星期日，3月1日（星期一）補假1日。,
4月2日 (五),兒童節 民族掃墓節,因兒童節與民族掃墓節為同一日(4月4日)且適逢星期日，於前一日4月2日（星期五）放假1日，且4月5日（星期一）補假1日。,
4月3日 (六),兒童節 民族掃墓節,依規定放假1日。,
4月4日 (日),兒童節 民族掃墓節,兒童節 民族掃墓節依規定放假1日。,
4月5日 (一),兒童節 民族掃墓節,因兒童節與民族掃墓節為同一日(4月4日)且適逢星期日，於前一日4月2日（星期五）放假1日，且4月5日（星期一）補假1日。,
4月30日 (五),勞動節,5月1日適逢星期六，4月30日（星期五）補假1日。,
5月1日 (六),勞動節,依規定放假1日。,
6月14日 (一),端午節,依規定放假1日。,
9月20日 (一),中秋節,9月20日（星期一）調整放假，於9月11日（星期六）補行上班，但不交易亦不交割。,
9月21日 (二),中秋節,依規定放假1日。,
10月10日 (日),國慶日,依規定放假1日。,
10月11日 (一),國慶日,10月10日適逢星期日，10月11日（星期一）補假1日。,
12月31日 (五),中華民國開國紀念日,111年1月1日適逢星期六，110年12月31日（星期五）補假1日。,
